k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
100,0.4,0.0032,0.0,0.9063237629371877,0.009182882368211133,power_endpoint,H0,beta
110,0.4,0.004,0.0,0.9109955418114685,0.008538949730384274,power_endpoint,H0,beta
120,0.4,0.0048,0.0,0.9164300189651523,0.00791903823619057,power_endpoint,H0,beta
130,0.4,0.0044,0.0,0.9209475986062993,0.007365815517056036,power_endpoint,H0,beta
140,0.4,0.0042,0.0,0.9248210719865912,0.006871887061604235,power_endpoint,H0,beta
150,0.4,0.0038,0.0,0.9289351275400497,0.006471180809845936,power_endpoint,H0,beta
160,0.4,0.0048,0.0,0.9329686007175724,0.006268897000711814,power_endpoint,H0,beta
170,0.4,0.0042,0.0,0.9366313705081593,0.005903284520586911,power_endpoint,H0,beta
180,0.4,0.0058,0.0,0.9402043060169856,0.005598730247261428,power_endpoint,H0,beta
190,0.4,0.0052,0.0,0.943770734890904,0.005373077409768522,power_endpoint,H0,beta
200,0.4,0.0074,0.0,0.9469341634674946,0.0051325932731212665,power_endpoint,H0,beta
210,0.4,0.0076,0.0,0.9500321198902784,0.004931884498491806,power_endpoint,H0,beta
220,0.4,0.0066,0.0,0.9525471151333735,0.004658893947221926,power_endpoint,H0,beta
230,0.4,0.007,0.0,0.9557588526877273,0.004515514349745257,power_endpoint,H0,beta
240,0.4,0.0082,0.0,0.9583120626022344,0.004393991221236558,power_endpoint,H0,beta
250,0.4,0.01,0.0,0.961425171196904,0.0042336752383153676,power_endpoint,H0,beta
260,0.4,0.0114,0.0,0.9644143385487162,0.004107758590597157,power_endpoint,H0,beta
270,0.4,0.0134,0.0,0.9676690005499251,0.003999832416875725,power_endpoint,H0,beta
280,0.4,0.012,0.0,0.9697756613444121,0.0039107607466842284,power_endpoint,H0,beta
290,0.4,0.012,0.0,0.9720010559776462,0.003783423128382784,power_endpoint,H0,beta
300,0.4,0.0138,0.0,0.9737898569734829,0.003668524601406093,power_endpoint,H0,beta
310,0.4,0.0166,0.0,0.9760733719678069,0.003520975175242613,power_endpoint,H0,beta
320,0.4,0.0192,0.0,0.9785006659482925,0.0034340557437367134,power_endpoint,H0,beta
330,0.4,0.02,0.0,0.9803536500008165,0.0033612873067518662,power_endpoint,H0,beta
340,0.4,0.0218,0.0,0.9824548441683688,0.003260534234550524,power_endpoint,H0,beta
350,0.4,0.0234,0.0,0.9844514570477381,0.003208003156101071,power_endpoint,H0,beta
360,0.4,0.0258,0.0,0.9866085844559278,0.0031371773340026347,power_endpoint,H0,beta
370,0.4,0.0264,0.0,0.9886378635491383,0.00304751741170421,power_endpoint,H0,beta
380,0.4,0.0286,0.0,0.990465702725105,0.002956771038397258,power_endpoint,H0,beta
390,0.4,0.0304,0.0,0.9921326484694885,0.002911412182603727,power_endpoint,H0,beta
400,0.4,0.0346,0.0,0.9938820720766794,0.0028600642877733996,power_endpoint,H0,beta
410,0.4,0.0356,0.0,0.9958644594804713,0.0027817681353831214,power_endpoint,H0,beta
420,0.4,0.0396,0.0,0.9976379043851618,0.002712109257002663,power_endpoint,H0,beta
430,0.4,0.0394,0.0,0.9991886233484387,0.0026458454118687565,power_endpoint,H0,beta
440,0.4,0.0434,0.0,1.0007700506722832,0.0026201319637249617,power_endpoint,H0,beta
450,0.4,0.0482,0.0,1.0024428323800667,0.0025694588150253924,power_endpoint,H0,beta
460,0.4,0.0506,0.0,1.0039638853399142,0.002520831100067198,power_endpoint,H0,beta
470,0.4,0.0548,0.0,1.0053851002994156,0.0024973055387098155,power_endpoint,H0,beta
480,0.4,0.0608,0.0,1.0068357128693188,0.00244519321335324,power_endpoint,H0,beta
490,0.4,0.0624,0.0,1.0083406560838772,0.0023882810450916257,power_endpoint,H0,beta
